date,group,ridership,on_time_pct,day_type,delay_avg_min,revenue,incidents
2025-03-30,Route A,536,84.4,Weekend,5.2,1725.92,0
2025-03-31,Route A,1093,92.4,Weekday,0.6,3716.2,1
2025-04-01,Route A,1112,90.4,Weekday,2.4,3636.24,0
2025-04-02,Route A,1506,87.7,Weekday,2.4,3885.48,0
2025-04-03,Route A,1228,93.4,Weekday,1.0,3352.44,0
2025-04-04,Route A,1225,89.5,Weekday,2.2,3564.75,0
2025-04-05,Route A,794,91.3,Weekend,0,2445.52,0
2025-04-06,Route A,1087,94.1,Weekend,0,3130.56,0
2025-04-07,Route A,1070,95.3,Weekday,3.0,3124.4,1
2025-04-08,Route A,895,84.7,Weekday,3.4,2434.4,0
2025-04-09,Route A,1209,90.3,Weekday,1.5,3506.1,0
2025-04-10,Route A,1482,87.9,Weekday,3.2,4623.84,0
2025-04-11,Route A,1067,93.1,Weekday,3.4,2816.88,0
2025-04-12,Route A,943,93.6,Weekend,2.0,2555.53,0
2025-04-13,Route A,912,86.0,Weekend,3.5,2508.0,0
2025-04-14,Route A,910,94.8,Weekday,1.5,3185.0,0
2025-04-15,Route A,1065,84.3,Weekday,2.8,3674.25,0
2025-04-16,Route A,1004,92.2,Weekday,2.0,2640.52,0
2025-04-17,Route A,1133,88.8,Weekday,2.2,3025.11,0
2025-04-18,Route A,958,89.9,Weekday,1.9,3180.56,2
2025-04-19,Route A,931,90.5,Weekend,1.7,3221.26,0
2025-04-20,Route A,1150,89.5,Weekend,2.1,3668.5,0
2025-04-21,Route A,1498,94.0,Weekday,2.5,3924.76,3
2025-04-22,Route A,1053,90.6,Weekday,1.3,3085.29,0
2025-04-23,Route A,1085,89.8,Weekday,3.9,2831.85,2
2025-04-24,Route A,978,84.9,Weekday,2.1,3139.38,0
2025-04-25,Route A,1202,79.6,Weekday,4.8,3654.08,0
2025-04-26,Route A,1224,83.9,Weekend,4.8,3390.48,1
2025-04-27,Route A,937,88.4,Weekend,3.6,2773.52,0
2025-04-28,Route A,1158,89.2,Weekday,2.9,3879.3,0
2025-04-29,Route A,1325,96.8,Weekday,0,4240.0,0
2025-04-30,Route A,1125,97.8,Holiday,2.2,3363.75,1
2025-01-01,Route B,1230,85.4,Weekday,2.0,3677.7,1
2025-01-02,Route B,1194,90.0,Weekday,2.1,3677.52,0
2025-01-03,Route B,972,82.8,Weekday,4.0,3159.0,0
2025-01-04,Route B,754,84.2,Weekend,3.9,2028.26,0
2025-01-05,Route B,872,79.7,Weekend,4.6,2345.68,0
2025-01-06,Route B,844,88.8,Weekday,4.2,2346.32,0
2025-01-07,Route B,1071,89.2,Weekday,3.5,2870.28,0
2025-01-08,Route B,974,87.1,Weekday,4.7,3116.8,0
2025-01-09,Route B,1067,91.9,Weekday,1.0,3595.79,0
2025-01-10,Route B,930,89.0,Weekday,2.9,3199.2,0
2025-01-11,Route B,839,90.2,Weekend,1.4,2156.23,0
2025-01-12,Route B,877,88.9,Weekend,1.8,3060.73,0
2025-01-13,Route B,1047,88.6,Weekday,1.2,3444.63,0
2025-01-14,Route B,926,87.2,Weekday,1.0,3231.74,0
2025-01-15,Route B,1211,83.0,Weekday,3.1,3923.64,2
2025-01-16,Route B,743,88.8,Holiday,2.2,1983.81,0
2025-01-17,Route B,1274,88.1,Weekday,2.2,3478.02,1
2025-01-18,Route B,717,86.4,Weekend,2.1,2287.23,2
2025-01-19,Route B,844,81.2,Weekend,3.2,2472.92,0
2025-01-20,Route B,783,81.4,Weekday,2.5,2607.39,0
2025-01-21,Route B,1168,91.7,Weekday,2.1,3258.72,0
2025-01-22,Route B,891,85.1,Weekday,2.0,3065.04,0
2025-01-23,Route B,1033,88.1,Weekday,4.2,2913.06,0
2025-01-24,Route B,1141,98.7,Weekday,2.0,3810.94,0
2025-01-25,Route B,1391,82.0,Weekend,4.1,3533.14,1
2025-01-26,Route B,679,80.8,Weekend,5.1,2322.18,0
2025-01-27,Route B,903,84.3,Weekday,3.4,2573.55,0
2025-01-28,Route B,1102,83.2,Weekday,2.1,3118.66,0
2025-01-29,Route B,1007,99,Weekday,0.8,2970.65,0
2025-01-30,Route B,912,82.1,Weekday,7.3,2644.8,0
2025-01-31,Route B,1332,87.4,Weekday,1.9,3583.08,0
2025-02-01,Route B,747,88.3,Weekend,1.3,2435.22,0
2025-02-02,Route B,441,84.5,Weekend,2.2,1155.42,3
2025-02-03,Route B,1192,85.1,Weekday,3.2,3170.72,0
2025-02-04,Route B,1031,87.3,Weekday,5.8,3051.76,0
2025-02-05,Route B,1081,90.9,Weekday,1.1,3480.82,0
2025-02-06,Route B,1054,97.3,Weekday,1.6,3214.7,0
2025-02-07,Route B,1083,93.2,Weekday,1.0,3660.54,1
2025-02-08,Route B,744,96.7,Weekend,0,2239.44,1
2025-02-09,Route B,980,87.1,Weekend,4.2,3028.2,3
2025-02-10,Route B,1007,88.1,Weekday,1.9,3071.35,0
2025-02-11,Route B,1063,83.7,Weekday,4.4,2859.47,0
2025-02-12,Route B,993,86.4,Weekday,3.5,3217.32,1
2025-02-13,Route B,1051,89.8,Weekday,1.4,3321.16,1
2025-02-14,Route B,1284,87.3,Weekday,4.6,3967.56,1
2025-02-15,Route B,833,91.7,Weekend,1.1,2523.99,0
2025-02-16,Route B,761,82.9,Weekend,3.9,2260.17,2
2025-02-17,Route B,1021,83.9,Weekday,5.6,3216.15,1
2025-02-18,Route B,1288,80.0,Weekday,4.2,4147.36,1
2025-02-19,Route B,1193,88.9,Weekday,2.5,3066.01,0
2025-02-20,Route B,1583,79.7,Weekday,5.0,4115.8,0
2025-02-21,Route B,927,91.7,Weekday,1.1,2957.13,2
2025-02-22,Route B,986,88.1,Holiday,4.1,2612.9,0
2025-02-23,Route B,530,84.4,Weekend,4.1,1786.1,0
2025-02-24,Route B,1154,88.6,Weekday,5.5,3046.56,0
2025-02-25,Route B,1094,91.8,Weekday,4.2,3719.6,0
2025-02-26,Route B,1114,90.9,Weekday,3.4,3174.9,0
2025-02-27,Route B,989,83.9,Weekday,4.0,2670.3,0
2025-02-28,Route B,1406,84.3,Weekday,4.0,4316.42,0
2025-03-01,Route B,923,87.7,Weekend,4.8,2556.71,0
2025-03-02,Route B,757,84.7,Weekend,2.0,1930.35,0
2025-03-03,Route B,751,88.2,Weekday,2.5,2335.61,0
2025-03-04,Route B,1376,83.4,Weekday,2.9,4375.68,1
2025-03-05,Route B,932,79.9,Weekday,3.2,2935.8,0
2025-03-06,Route B,847,81.8,Weekday,5.1,2735.81,0
2025-03-07,Route B,1023,95.9,Weekday,1.3,3109.92,3
2025-03-08,Route B,865,77.1,Weekend,5.2,2880.45,0
2025-03-09,Route B,872,82.8,Weekend,5.0,2476.48,0
2025-03-10,Route B,848,90.6,Weekday,2.2,2942.56,1
2025-03-11,Route B,1025,74.1,Weekday,8.6,2941.75,1
2025-03-12,Route B,1038,94.1,Weekday,1.6,3062.1,0
2025-03-13,Route B,997,82.1,Weekday,5.7,2602.17,0
2025-03-14,Route B,755,98.2,Weekday,0.8,2310.3,2
2025-03-15,Route B,799,89.7,Weekend,3.8,2237.2,0
2025-03-16,Route B,475,95.6,Weekend,3.3,1330.0,0
2025-03-17,Route B,1370,93.9,Weekday,2.4,4342.9,1
2025-03-18,Route B,1229,92.8,Weekday,1.4,3981.96,0
2025-03-19,Route B,1034,89.1,Weekday,1.5,3567.3,0
2025-03-20,Route B,1107,84.2,Weekday,4.9,3819.15,1
2025-03-21,Route B,1294,92.4,Weekday,0,3700.84,0
2025-03-22,Route B,667,88.9,Weekend,3.4,2234.45,0
2025-03-23,Route B,669,81.8,Weekend,4.3,2201.01,0
2025-03-24,Route B,1077,92.5,Weekday,3.0,2767.89,1
2025-03-25,Route B,1126,91.3,Weekday,2.9,2983.9,2
2025-03-26,Route B,992,97.8,Weekday,0.6,2618.88,0
2025-03-27,Route B,1096,91.0,Weekday,2.1,2750.96,1
2025-03-28,Route B,1065,88.2,Weekday,4.0,2843.55,0
2025-03-29,Route B,778,81.8,Weekend,4.5,2551.84,0
2025-03-30,Route B,606,92.5,Weekend,2.8,2090.7,0
2025-03-31,Route B,1163,78.1,Weekday,4.2,4023.98,0
2025-04-01,Route B,1072,82.9,Weekday,4.4,3419.68,0
2025-04-02,Route B,1149,86.9,Weekday,4.7,2952.93,0
2025-04-03,Route B,1202,83.7,Weekday,3.0,3401.66,3
2025-04-04,Route B,923,86.9,Weekday,2.9,2953.6,1
2025-04-05,Route B,743,82.9,Weekend,2.6,2392.46,0
2025-04-06,Route B,678,89.0,Weekend,2.1,1979.76,0
2025-04-07,Route B,1245,81.3,Weekday,5.5,3573.15,0
2025-04-08,Route B,1148,87.0,Weekday,3.5,2984.8,1
2025-04-09,Route B,1034,90.3,Weekday,1.0,3195.06,0
2025-04-10,Route B,1056,90.1,Weekday,1.4,3432.0,1
2025-04-11,Route B,1284,85.5,Weekday,0.5,3980.4,0
2025-04-12,Route B,690,86.3,Weekend,3.0,1800.9,1
2025-04-13,Route B,692,82.2,Weekend,6.0,2124.44,1
2025-04-14,Route B,1339,76.7,Weekday,6.5,4204.46,0
2025-04-15,Route B,895,96.4,Weekday,0,2479.15,0
2025-04-16,Route B,1055,83.8,Weekday,4.0,3555.35,0
2025-04-17,Route B,1110,85.6,Weekday,4.0,3474.3,0
2025-04-18,Route B,1092,84.4,Weekday,2.9,3134.04,1
2025-04-19,Route B,858,89.0,Weekend,1.2,2213.64,0
2025-04-20,Route B,909,93.7,Weekend,1.1,2872.44,0
2025-04-21,Route B,982,84.2,Weekday,4.3,3191.5,0
2025-04-22,Route B,977,89.6,Weekday,2.0,3097.09,0
2025-04-23,Route B,929,82.5,Weekday,5.4,2331.79,0
2025-04-24,Route B,1116,90.5,Weekday,2.3,2801.16,1
2025-04-25,Route B,1238,90.1,Weekday,3.5,3961.6,0
2025-04-26,Route B,932,80.0,Weekend,7.1,2367.28,0
2025-04-27,Route B,926,96.6,Weekend,0,2852.08,0
2025-04-28,Route B,1053,82.9,Weekday,4.5,2969.46,1
2025-04-29,Route B,1117,80.9,Weekday,3.2,3820.14,0
2025-04-30,Route B,777,81.2,Holiday,3.9,2253.3,0
2025-01-01,Route C,1304,94.3,Weekday,2.1,3403.44,0
2025-01-02,Route C,1608,94.3,Weekday,0.8,5193.84,1
2025-01-03,Route C,1458,90.0,Weekday,3.0,4519.8,1
2025-01-04,Route C,1113,90.9,Weekend,1.6,3639.51,0
2025-01-05,Route C,1017,86.9,Weekend,0.7,3112.02,0
2025-01-06,Route C,1543,87.7,Weekday,1.4,4829.59,0
2025-01-07,Route C,1596,93.3,Weekday,1.4,4085.76,0
2025-01-08,Route C,1551,90.8,Weekday,3.5,3970.56,1
2025-01-09,Route C,1754,94.8,Weekday,2.3,5279.54,0
2025-01-10,Route C,1182,87.0,Weekday,2.5,4018.8,0
2025-01-11,Route C,1114,87.9,Weekend,2.4,2952.1,0
2025-01-12,Route C,1212,97.1,Weekend,2.3,3442.08,1
2025-01-13,Route C,1277,91.9,Weekday,2.0,3754.38,0
2025-01-14,Route C,1614,93.6,Weekday,2.6,4486.92,0
2025-01-15,Route C,1257,95.4,Weekday,1.6,3230.49,0
2025-01-16,Route C,630,87.8,Holiday,2.8,2148.3,1
2025-01-17,Route C,1111,90.0,Weekday,3.9,2933.04,0
2025-01-18,Route C,1311,91.0,Weekend,1.0,4509.84,0
2025-01-19,Route C,1177,88.2,Weekend,4.4,3895.87,0
2025-01-20,Route C,1556,87.7,Weekday,2.5,4901.4,0
2025-01-21,Route C,1175,90.1,Weekday,3.3,3149.0,0
2025-01-22,Route C,1618,90.9,Weekday,2.4,4174.44,1
2025-01-23,Route C,1508,96.1,Weekday,2.2,5036.72,1
2025-01-24,Route C,1576,92.6,Weekday,1.9,4538.88,0
2025-01-25,Route C,903,94.5,Weekend,0,2988.93,0
2025-01-26,Route C,818,93.2,Weekend,1.3,2404.92,0
2025-01-27,Route C,1268,91.9,Weekday,0.7,3842.04,0
2025-01-28,Route C,1481,88.8,Weekday,3.4,5109.45,3
2025-01-29,Route C,1235,89.6,Weekday,2.8,3556.8,0
2025-01-30,Route C,1760,90.8,Weekday,2.5,4840.0,0
2025-01-31,Route C,1297,94.7,Weekday,0.3,3372.2,1
2025-02-01,Route C,1105,90.0,Weekend,2.6,3768.05,0
2025-02-02,Route C,849,85.3,Weekend,4.8,2309.28,0
2025-02-03,Route C,1373,92.5,Weekday,3.2,3762.02,3
2025-02-04,Route C,1478,91.5,Weekday,2.3,5069.54,1
2025-02-05,Route C,1192,87.7,Weekday,3.7,3969.36,0
2025-02-06,Route C,1525,95.0,Weekday,2.7,4498.75,0
2025-02-07,Route C,1535,93.1,Weekday,2.5,4958.05,0
2025-02-08,Route C,791,93.9,Weekend,2.2,2214.8,0
2025-02-09,Route C,697,94.5,Weekend,0.8,2376.77,0
2025-02-10,Route C,1426,95.6,Weekday,1.3,3907.24,0
2025-02-11,Route C,1151,93.7,Weekday,1.6,3637.16,0
2025-02-12,Route C,1608,93.1,Weekday,1.7,4872.24,0
2025-02-13,Route C,1654,91.7,Weekday,1.0,5193.56,3
2025-02-14,Route C,1544,91.9,Weekday,2.2,5079.76,0
2025-02-15,Route C,978,87.8,Weekend,3.3,2767.74,0
2025-02-16,Route C,685,86.7,Weekend,2.7,1835.8,1
2025-02-17,Route C,1100,93.0,Weekday,0.3,2816.0,1
2025-02-18,Route C,1131,89.5,Weekday,2.9,2872.74,0
2025-02-19,Route C,1850,93.8,Weekday,0,5624.0,0
2025-02-20,Route C,1342,92.0,Weekday,1.2,3838.12,1
2025-02-21,Route C,1520,89.9,Weekday,3.3,5152.8,1
2025-02-22,Route C,1046,91.4,Holiday,3.5,3138.0,2
2025-02-23,Route C,970,86.6,Weekend,3.1,3133.1,0
2025-02-24,Route C,1103,88.6,Weekday,1.8,2845.74,0
2025-02-25,Route C,1351,90.5,Weekday,3.9,3958.43,0
2025-02-26,Route C,1366,92.7,Weekday,2.6,4781.0,0
2025-02-27,Route C,1265,99,Weekday,0,3263.7,0
2025-02-28,Route C,1166,96.0,Weekday,0,3078.24,0
2025-03-01,Route C,562,92.1,Weekend,1.7,1444.34,1
2025-03-02,Route C,878,94.1,Weekend,0,2792.04,2
2025-03-03,Route C,1289,88.4,Weekday,4.4,3957.23,0
2025-03-04,Route C,1169,94.5,Weekday,1.4,3787.56,0
2025-03-05,Route C,1499,89.0,Weekday,3.8,4137.24,0
2025-03-06,Route C,768,95.3,Weekday,0.6,2296.32,0
2025-03-07,Route C,1835,93.9,Weekday,0.5,6239.0,0
2025-03-08,Route C,1267,94.3,Weekend,2.0,3610.95,0
2025-03-09,Route C,864,85.8,Weekend,2.9,2894.4,1
2025-03-10,Route C,1657,90.0,Weekday,2.9,4341.34,0
2025-03-11,Route C,1171,95.3,Weekday,2.8,2962.63,0
2025-03-12,Route C,1156,95.9,Weekday,0,2994.04,0
2025-03-13,Route C,1313,96.7,Weekday,0.8,3978.39,1
2025-03-14,Route C,1436,90.9,Weekday,4.0,4236.2,0
2025-03-15,Route C,959,88.5,Weekend,4.9,3145.52,0
2025-03-16,Route C,1225,99,Weekend,0,3136.0,0
2025-03-17,Route C,1582,93.0,Weekday,2.4,4461.24,1
2025-03-18,Route C,1131,97.8,Weekday,2.4,3110.25,0
2025-03-19,Route C,1164,90.5,Weekday,2.2,3259.2,0
2025-03-20,Route C,1280,91.9,Weekday,2.7,4044.8,1
2025-03-21,Route C,1360,87.4,Weekday,1.7,4161.6,1
2025-03-22,Route C,1069,92.1,Weekend,1.0,3367.35,1
2025-03-23,Route C,806,88.2,Weekend,3.8,2418.0,0
2025-03-24,Route C,1278,99,Weekday,0,4064.04,0
2025-03-25,Route C,1440,92.9,Weekday,2.0,4233.6,0
2025-03-26,Route C,1479,95.8,Weekday,0.3,4777.17,1
2025-03-27,Route C,1695,93.5,Weekday,1.5,4864.65,0
2025-03-28,Route C,1307,95.0,Weekday,1.2,3398.2,0
2025-03-29,Route C,1159,88.8,Weekend,3.9,3187.25,1
2025-03-30,Route C,1105,94.2,Weekend,0.5,3602.3,0
2025-03-31,Route C,1320,88.4,Weekday,2.8,3709.2,0
2025-04-01,Route C,1625,90.7,Weekday,3.1,4631.25,0
2025-04-02,Route C,1372,85.7,Weekday,3.7,4321.8,0
2025-04-03,Route C,1024,90.6,Weekday,0.1,3307.52,1
2025-04-04,Route C,1575,89.9,Weekday,3.4,4835.25,0
2025-04-05,Route C,936,91.5,Weekend,0.1,2602.08,3
2025-04-06,Route C,1000,91.3,Weekend,1.6,3480.0,0
2025-04-07,Route C,1452,89.3,Weekday,4.5,3920.4,0
2025-04-08,Route C,1276,91.0,Weekday,2.3,3368.64,0
2025-04-09,Route C,1183,92.4,Weekday,0.8,3347.89,0
2025-04-10,Route C,1252,96.7,Weekday,4.0,4056.48,0
2025-04-11,Route C,1208,96.7,Weekday,0,3382.4,1
2025-04-12,Route C,946,88.9,Weekend,4.1,3292.08,0
2025-04-13,Route C,1103,87.3,Weekend,3.1,3275.91,2
2025-04-14,Route C,1359,93.0,Weekday,0,4185.72,1
2025-04-15,Route C,1296,91.0,Weekday,1.1,4328.64,0
2025-04-16,Route C,1200,91.6,Weekday,1.8,4140.0,0
2025-04-17,Route C,1574,92.2,Weekday,3.0,4580.34,1
2025-04-18,Route C,1651,97.2,Weekday,0,5349.24,0
2025-04-19,Route C,1098,93.5,Weekend,0.8,3326.94,0
2025-04-20,Route C,1272,95.0,Weekend,3.6,3612.48,0
2025-04-21,Route C,1446,87.1,Weekday,2.1,4497.06,0
2025-04-22,Route C,1161,92.0,Weekday,3.5,3157.92,3
2025-04-23,Route C,1353,94.3,Weekday,1.9,3815.46,0
2025-04-24,Route C,1703,96.8,Weekday,0,4717.31,0
2025-04-25,Route C,1315,89.3,Weekday,4.9,4536.75,1
2025-04-26,Route C,964,91.3,Weekend,3.1,3094.44,0
2025-04-27,Route C,866,92.7,Weekend,1.0,2632.64,2
2025-04-28,Route C,1419,91.3,Weekday,1.5,4427.28,0
2025-04-29,Route C,1416,96.3,Weekday,0,3610.8,0
2025-04-30,Route C,857,88.9,Holiday,2.8,2613.85,2
2025-01-01,Route D,935,73.3,Weekday,8.2,3160.3,0
2025-01-02,Route D,1062,99,Weekday,0,3621.42,0
2025-01-03,Route D,1131,78.4,Weekday,4.7,3641.82,2
2025-01-04,Route D,758,83.1,Weekend,4.8,2592.36,3
2025-01-05,Route D,625,79.4,Weekend,6.0,2150.0,2
2025-01-06,Route D,1205,79.5,Weekday,6.7,3145.05,3
2025-01-07,Route D,960,81.1,Weekday,8.2,2918.4,0
2025-01-08,Route D,1202,80.6,Weekday,4.1,3137.22,0
2025-01-09,Route D,968,80.5,Weekday,5.1,2603.92,1
2025-01-10,Route D,995,77.5,Weekday,5.7,3343.2,1
2025-01-11,Route D,596,88.3,Weekend,1.6,1543.64,0
2025-01-12,Route D,714,88.0,Weekend,2.6,1970.64,0
2025-01-13,Route D,1044,85.3,Weekday,0.7,2923.2,1
2025-01-14,Route D,1153,85.6,Weekday,3.4,3020.86,0
2025-01-15,Route D,902,79.1,Weekday,6.0,3066.8,1
2025-01-16,Route D,591,86.9,Holiday,2.8,1838.01,0
2025-01-17,Route D,1003,87.6,Weekday,3.1,2928.76,0
2025-01-18,Route D,492,77.7,Weekend,5.9,1554.72,0
2025-01-19,Route D,687,95.0,Weekend,1.6,2026.65,1
2025-01-20,Route D,908,91.8,Weekday,2.8,2324.48,0
2025-01-21,Route D,767,84.7,Weekday,4.5,2316.34,0
2025-01-22,Route D,1050,87.2,Weekday,4.7,2719.5,0
2025-01-23,Route D,1005,78.8,Weekday,4.0,2572.8,0
2025-01-24,Route D,936,88.3,Weekday,1.1,2714.4,1
2025-01-25,Route D,678,77.1,Weekend,6.8,1735.68,3
2025-01-26,Route D,719,87.1,Weekend,3.1,2466.17,0
2025-01-27,Route D,748,90.5,Weekday,2.7,2356.2,0
2025-01-28,Route D,563,90.9,Weekday,2.2,1897.31,2
2025-01-29,Route D,798,91.4,Weekday,1.4,2513.7,0
2025-01-30,Route D,801,88.2,Weekday,4.3,2427.03,1
2025-01-31,Route D,951,85.5,Weekday,4.6,3014.67,0
2025-02-01,Route D,700,74.0,Weekend,6.0,1925.0,0
2025-02-02,Route D,630,98.9,Weekend,0.2,2085.3,0
2025-02-03,Route D,881,86.2,Weekday,1.0,2220.12,0
2025-02-04,Route D,978,85.9,Weekday,2.0,2493.9,1
2025-02-05,Route D,823,81.4,Weekday,5.2,2238.56,1
2025-02-06,Route D,1104,87.4,Weekday,2.6,3565.92,0
2025-02-07,Route D,1198,77.6,Weekday,4.6,3378.36,0
2025-02-08,Route D,811,91.9,Weekend,2.2,2076.16,2
2025-02-09,Route D,799,94.6,Weekend,0,2500.87,0
2025-02-10,Route D,574,85.4,Weekday,5.3,1888.46,0
2025-02-11,Route D,874,82.0,Weekday,4.8,2517.12,1
2025-02-12,Route D,680,86.9,Weekday,2.7,2250.8,2
2025-02-13,Route D,1157,72,Weekday,5.8,3540.42,0
2025-02-14,Route D,953,89.0,Weekday,1.1,3192.55,0
2025-02-15,Route D,431,84.3,Weekend,3.1,1193.87,0
2025-02-16,Route D,455,77.6,Weekend,6.4,1465.1,0
2025-02-17,Route D,1168,72.9,Weekday,7.1,3305.44,2
2025-02-18,Route D,1276,86.3,Weekday,4.0,4466.0,0
2025-02-19,Route D,932,85.3,Weekday,5.3,2516.4,2
2025-02-20,Route D,719,81.6,Weekday,3.5,2056.34,0
2025-02-21,Route D,1066,77.9,Weekday,5.4,2771.6,3
2025-02-22,Route D,400,86.4,Holiday,2.8,1164.0,0
2025-02-23,Route D,697,88.3,Weekend,2.7,2146.76,0
2025-02-24,Route D,1275,88.0,Weekday,3.9,3672.0,1
2025-02-25,Route D,744,85.0,Weekday,3.4,2470.08,2
