date,group,ridership,on_time_pct,day_type,vehicle_type,fuel_liters,cost_usd
2025-04-01,Route C,472,84.7,Holiday,CNG,67.9,170.54
2025-04-02,Route C,768,81.6,Weekday,CNG,84.4,193.84
2025-04-03,Route C,714,83.6,Weekday,Hybrid,81.5,189.98
2025-04-04,Route C,681,87.7,Weekday,Hybrid,79.8,187.81
2025-04-05,Route C,468,89.5,Weekend,Diesel,68.3,171.91
2025-04-06,Route C,614,79.9,Weekend,Diesel,76.4,183.46
2025-04-07,Route C,704,82.0,Weekday,CNG,81.5,190.80
2025-04-08,Route C,712,80.8,Weekday,CNG,82.1,191.84
2025-04-09,Route C,734,88.3,Weekday,Hybrid,75.4,170.67
2025-04-10,Route C,775,86.8,Weekday,Hybrid,77.8,174.23
2025-04-11,Route C,719,79.6,Weekday,Diesel,74.9,170.38
2025-04-12,Route C,545,87.4,Weekend,Diesel,65.5,157.42
2025-04-13,Route C,530,88.1,Weekend,CNG,64.8,156.64
2025-04-14,Route C,711,81.8,Weekday,CNG,74.9,170.99
2025-04-15,Route C,790,84.2,Weekday,Hybrid,79.3,177.35
2025-04-16,Route C,764,86.3,Weekday,Diesel,78.0,175.74
2025-04-17,Route C,709,84.7,Weekday,Diesel,75.2,172.02
2025-04-18,Route C,718,81.9,Weekday,CNG,75.8,173.06
2025-04-19,Route C,578,82.0,Weekend,CNG,68.2,162.63
2025-04-20,Route C,608,85.2,Weekend,Hybrid,70.0,165.35
2025-04-21,Route C,705,85.8,Weekday,Hybrid,75.5,173.26
2025-04-22,Route C,745,78.4,Weekday,Diesel,77.8,176.68
2025-04-23,Route C,727,84.5,Weekday,Diesel,77.0,175.76
2025-04-24,Route C,705,87.9,Weekday,CNG,75.9,174.43
2025-04-25,Route C,628,87.7,Weekday,CNG,71.8,168.89
2025-04-26,Route C,576,85.3,Weekend,Hybrid,69.1,165.32
2025-04-27,Route C,560,86.7,Weekend,Hybrid,68.3,164.40
2025-04-28,Route C,726,85.8,Weekday,Diesel,77.6,177.62
2025-04-29,Route C,777,82.9,Weekday,Diesel,80.5,181.89
2025-04-30,Route C,772,82.3,Weekday,CNG,80.4,181.95
