date,group,ridership,on_time_pct,day_type,vehicle_type,fuel_liters,cost_usd
2025-04-12,Route F,820,93.496,Weekend,CNG,81.4,180.89
2025-04-13,Route F,827,93.632,Weekend,CNG,81.9,181.80
2025-04-14,Route F,834,93.768,Weekday,Hybrid,82.4,182.70
2025-04-15,Route F,840,93.904,Weekday,Hybrid,82.9,183.60
2025-04-16,Route F,847,94.04,Weekday,Diesel,83.4,184.51
2025-04-17,Route F,854,94.176,Weekday,Diesel,83.9,185.41
2025-04-18,Route F,861,94.312,Weekday,CNG,84.5,186.46
2025-04-19,Route F,868,94.44800000000001,Weekend,CNG,85.0,187.36
2025-04-20,Route F,874,94.584,Weekend,Hybrid,85.4,188.12
2025-04-21,Route F,881,94.72,Weekday,Hybrid,86.0,189.17
2025-04-22,Route F,888,94.856,Weekday,Diesel,86.5,190.07
2025-04-23,Route F,895,94.992,Weekday,Diesel,87.0,190.98
2025-04-24,Route F,902,87.128,Weekday,CNG,87.5,191.88
2025-04-25,Route F,908,87.264,Weekday,CNG,88.0,192.78
2025-04-26,Route F,915,87.4,Weekend,Hybrid,88.5,193.69
2025-04-27,Route F,522,87.536,Weekend,Hybrid,67.0,163.79
2025-04-28,Route F,529,87.672,Weekday,Diesel,67.6,164.84
2025-04-29,Route F,536,87.80799999999999,Weekday,Diesel,68.1,165.74
2025-04-30,Route F,542,87.944,Weekday,CNG,68.5,166.50
