date,group,ridership,on_time_pct,day_type,vehicle_type,fuel_liters,cost_usd
2025-03-18,Route D,585,87.5,Weekday,Diesel,72.5,174.49
2025-03-19,Route D,629,95.1,Weekday,Diesel,75.1,178.34
2025-03-20,Route D,592,90.3,Weekday,CNG,73.2,175.88
2025-03-21,Route D,564,93.2,Weekday,CNG,71.8,174.12
2025-03-22,Route D,441,91.0,Weekend,Hybrid,65.1,164.95
2025-03-23,Route D,372,95.7,Weekend,Hybrid,61.5,160.11
2025-03-24,Route D,603,95.1,Weekday,Diesel,74.3,178.24
2025-03-25,Route D,638,88.4,Weekday,Diesel,76.4,181.38
2025-03-26,Route D,648,92.8,Weekday,CNG,77.1,182.56
2025-03-27,Route D,628,91.0,Weekday,CNG,76.1,181.37
2025-03-28,Route D,594,92.9,Weekday,Hybrid,74.4,179.19
2025-03-29,Route D,414,94.3,Weekend,Hybrid,64.6,165.68
2025-03-30,Route D,382,92.8,Weekend,Diesel,63.0,163.64
2025-03-31,Route D,619,86.9,Weekday,Diesel,76.1,182.18
2025-04-01,Route D,322,91.1,Holiday,CNG,59.9,159.71
2025-04-02,Route D,637,93.1,Weekday,CNG,77.4,184.41
2025-04-03,Route D,616,89.4,Weekday,Hybrid,76.4,183.22
2025-04-04,Route D,536,91.4,Weekday,Hybrid,72.1,177.40
2025-04-05,Route D,398,98.0,Weekend,Diesel,64.7,167.24
2025-04-06,Route D,381,92.8,Weekend,Diesel,63.9,166.33
2025-04-07,Route D,598,93.9,Weekday,CNG,67.9,160.13
2025-04-08,Route D,627,89.9,Weekday,CNG,69.7,162.86
2025-04-09,Route D,655,89.6,Weekday,Hybrid,71.3,165.30
2025-04-10,Route D,603,89.6,Weekday,Hybrid,68.6,161.72
2025-04-11,Route D,600,85.9,Weekday,Diesel,68.6,161.93
2025-04-12,Route D,387,89.9,Weekend,CNG,57.0,145.89
2025-04-13,Route D,420,87.4,Weekend,CNG,59.0,148.90
2025-04-14,Route D,581,90.0,Weekday,Hybrid,68.0,161.70
2025-04-15,Route D,672,88.7,Weekday,Hybrid,73.1,169.04
2025-04-16,Route D,629,94.5,Weekday,Diesel,70.9,166.17
2025-04-17,Route D,581,82.2,Weekday,Diesel,68.4,162.87
2025-04-18,Route D,587,87.3,Weekday,CNG,68.8,163.64
2025-04-19,Route D,360,93.9,Weekend,CNG,56.5,146.62
2025-04-20,Route D,398,90.0,Weekend,Hybrid,58.7,149.90
2025-04-21,Route D,566,91.3,Weekday,Hybrid,68.1,163.27
2025-04-22,Route D,653,88.4,Weekday,Diesel,73.0,170.33
2025-04-23,Route D,692,85.4,Weekday,Diesel,75.3,173.76
2025-04-24,Route D,582,86.5,Weekday,CNG,69.4,165.70
2025-04-25,Route D,578,89.3,Weekday,CNG,69.3,165.76
2025-04-26,Route D,382,92.6,Weekend,Hybrid,58.6,150.99
2025-04-27,Route D,363,95.9,Weekend,Hybrid,57.7,149.93
2025-04-28,Route D,599,91.8,Weekday,Diesel,70.8,168.48
2025-04-29,Route D,648,89.8,Weekday,Diesel,73.7,172.74
2025-04-30,Route D,664,89.8,Weekday,CNG,74.7,174.34
